selectionId,handicap,state.sortPriority,state.lastPriceTraded,state.totalMatched,state.status
6555433,0.0,1,1.7,0.0,ACTIVE
498560,0.0,2,5.6,0.0,ACTIVE
58805,0.0,3,4.3,0.0,ACTIVE
